,precision,recall,f1-score,support
0,0.5086206896551724,0.5198237885462555,0.514161220043573,227.0
1,0.9071117561683599,0.9398496240601504,0.9231905465288035,665.0
2,0.6474820143884892,0.627177700348432,0.6371681415929203,287.0
3,0.6473779385171791,0.8081264108352144,0.7188755020080321,443.0
4,0.8850574712643678,0.8461538461538461,0.8651685393258427,273.0
5,0.3739130434782609,0.40375586854460094,0.38826185101580135,213.0
6,1.0,0.012658227848101266,0.025,79.0
7,0.7864406779661017,0.8140350877192982,0.8,285.0
8,0.45652173913043476,0.3103448275862069,0.36950146627565983,203.0
9,0.4666666666666667,0.16091954022988506,0.23931623931623933,87.0
10,0.8523131672597865,0.9447731755424064,0.8961646398503275,507.0
accuracy,0.7301927194860813,0.7301927194860813,0.7301927194860813,0.7301927194860813
macro avg,0.6846822876813472,0.5806925543103997,0.5797098314506545,3269.0
weighted avg,0.7283874057133254,0.7301927194860813,0.7130669877024107,3269.0
