,precision,recall,f1-score,support
0,0.4907749077490775,0.5859030837004405,0.5341365461847389,227.0
1,0.9371069182389937,0.8962406015037594,0.9162182936202921,665.0
2,0.6049382716049383,0.6829268292682927,0.6415711947626841,287.0
3,0.6967032967032967,0.7155756207674944,0.7060133630289532,443.0
4,0.8458781362007168,0.8644688644688645,0.855072463768116,273.0
5,0.3349282296650718,0.3286384976525822,0.33175355450236965,213.0
6,0.23684210526315788,0.11392405063291139,0.15384615384615385,79.0
7,0.7602523659305994,0.8456140350877193,0.8006644518272426,285.0
8,0.38461538461538464,0.32019704433497537,0.34946236559139787,203.0
9,0.3709677419354839,0.26436781609195403,0.3087248322147651,87.0
10,0.9037328094302554,0.9072978303747534,0.905511811023622,507.0
accuracy,0.7176506576934842,0.7176506576934842,0.7176506576934842,0.7176506576934842
macro avg,0.596976378848816,0.5931958430803407,0.591179548215485,3269.0
weighted avg,0.7106238589146727,0.7176506576934842,0.7123783809755803,3269.0
